actual_values,predicted_values,difference
795000.0,510225.4,-284774.6
229000.0,242700.0,13700.0
395000.0,713775.0,318775.0
375000.0,342000.0,-33000.0
110000.0,130750.0,20750.0
332965.0,330755.1928571428,-2209.807142857171
399000.0,293675.0,-105325.0
299000.0,282125.0,-16875.0
856000.0,424187.8616666667,-431812.1383333333
289000.0,292875.0,3875.0
475000.0,471373.2,-3626.7999999999884
265500.0,259479.797979798,-6020.202020202007
3500000.0,3694750.0,194750.0
247500.0,258675.0,11175.0
249000.0,236950.0,-12050.0
425000.0,277800.0,-147200.0
190000.0,199099.95,9099.950000000012
429000.0,374189.8,-54810.20000000001
810000.0,809250.0,-750.0
440000.0,356600.0,-83400.0
225000.0,230618.5,5618.5
350000.0,345800.0,-4200.0
269500.0,246982.0833333333,-22517.916666666686
195000.0,205970.0,10970.0
180000.0,357000.0,177000.0
469000.0,424632.5,-44367.5
450000.0,252650.0,-197350.0
345000.0,365050.0,20050.0
295000.0,419338.75,124338.75
275000.0,493650.0,218650.0
191240.0,192860.33333333334,1620.333333333343
525000.0,710600.0,185600.0
230000.0,270350.0,40350.0
490000.0,459971.45,-30028.54999999999
385927.0,382723.6,-3203.4000000000233
419000.0,354050.0,-64950.0
595000.0,575515.0,-19485.0
279000.0,670000.0,391000.0
275000.0,280248.9766666667,5248.976666666684
385000.0,479150.0,94150.0
216201.0,232287.93410714288,16086.934107142879
285000.0,285596.5,596.5
323000.0,268021.6666666667,-54978.333333333314
207000.0,214697.46572871576,7697.465728715761
419760.0,448197.35,28437.349999999977
357000.0,384995.0,27995.0
225000.0,230618.5,5618.5
417000.0,402391.05,-14608.950000000012
475000.0,168860.5,-306139.5
299000.0,326650.0,27650.0
373000.0,392398.25,19398.25
540000.0,555186.45,15186.449999999953
199000.0,214350.0,15350.0
279500.0,296922.4166666667,17422.416666666686
795000.0,515790.0,-279210.0
595000.0,590750.0,-4250.0
557000.0,567459.25,10459.25
449000.0,492295.0,43295.0
378500.0,373257.0,-5243.0
215000.0,234045.0,19045.0
115000.0,165880.0,50880.0
135000.0,108795.0,-26205.0
348000.0,284100.0,-63900.0
475000.0,562955.75,87955.75
2295000.0,2295000.0,0.0
174000.0,379016.6666666667,205016.6666666667
415000.0,339632.0,-75368.0
748000.0,626138.9,-121861.09999999998
264455.0,266915.0666666667,2460.0666666667094
496514.0,512129.25,15615.25
545000.0,555650.0,10650.0
165000.0,125989.0,-39011.0
375000.0,268162.5,-106837.5
208000.0,336923.3333333334,128923.33333333337
434000.0,462750.0,28750.0
275000.0,186824.95,-88175.04999999999
720000.0,498625.0,-221375.0
600000.0,897600.0,297600.0
425000.0,412071.5,-12928.5
272500.0,289131.4125,16631.412499999977
225000.0,171199.9,-53800.100000000006
190000.0,199831.15,9831.149999999994
250000.0,202985.8,-47014.20000000001
380000.0,490950.0,110950.0
125000.0,292850.0,167850.0
345000.0,326820.0,-18180.0
399000.0,423300.0,24300.0
150000.0,204006.4166666667,54006.416666666686
298000.0,241402.76666666666,-56597.23333333334
344000.0,374990.0,30990.0
620000.0,566750.0,-53250.0
399000.0,388200.0,-10800.0
406000.0,404651.13476800977,-1348.8652319902321
100000.0,114345.0,14345.0
425000.0,391774.6714285714,-33225.3285714286
163000.0,185581.56666666665,22581.56666666665
205000.0,132500.0,-72500.0
219000.0,252400.0,33400.0
159000.0,217408.75,58408.75
299000.0,238350.0,-60650.0
198000.0,203229.1666666667,5229.166666666686
220000.0,252175.45833333334,32175.458333333343
375000.0,329150.0,-45850.0
695000.0,297174.9,-397825.1
249000.0,245075.0,-3925.0
361500.0,303760.0,-57740.0
653831.0,659488.1,5657.099999999977
179000.0,135600.0,-43400.0
375000.0,370500.0,-4500.0
299000.0,275375.0,-23625.0
540000.0,407431.9,-132568.09999999998
649000.0,697950.0,48950.0
234900.0,284025.0,49125.0
1850000.0,2522450.0,672450.0
179000.0,214850.0,35850.0
1995000.0,776350.0,-1218650.0
281916.0,282496.5,580.5
249000.0,284866.6666666667,35866.666666666686
110000.0,140300.0,30300.0
191000.0,236300.0,45300.0
340000.0,284450.0,-55550.0
219000.0,284957.6121794872,65957.61217948719
1150000.0,1439750.0,289750.0
474000.0,588420.0,114420.0
225000.0,242366.6666666667,17366.666666666686
530000.0,414200.0,-115800.0
399000.0,329200.0,-69800.0
435000.0,512126.1904761905,77126.19047619047
125000.0,201850.0,76850.0
140000.0,138150.0,-1850.0
240000.0,234375.0,-5625.0
300000.0,329035.0,29035.0
385000.0,333602.17532467534,-51397.824675324664
178000.0,174216.6666666667,-3783.333333333314
149000.0,235350.0,86350.0
265000.0,226020.0,-38980.0
349000.0,300750.0,-48250.0
